,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
7,4687,Binance USD,BUSD,binance-usd,3812,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,18158120131.439255,18158120131.439255,,8,,,2022-06-07T21:02:00.000Z,1.0001044449863354,5721534458.019368,23.9295,-0.0094034,-0.13473568,-0.13803666,-0.06377382,-0.05885501,-0.05570381,18160016656.04826,1.4256,18160016656.05,2022-06-07T21:02:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-06-07 22:02:39.661215
8,5426,Solana,SOL,solana,327,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,340434768.2056612,511616946.142289,,9,,,2022-06-07T21:01:00.000Z,40.627548945535885,1885788337.3741052,-2.7249,0.30956627,-3.42896616,-11.19202577,-46.44410733,-64.15428329,-52.98371621,13831030208.037663,1.0861,20785742520.76,2022-06-07T21:01:00.000Z,,,,,,2022-06-07 22:02:39.661215
9,74,Dogecoin,DOGE,dogecoin,483,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,2022-06-07T21:02:00.000Z,0.08164643117307632,459551277.3048419,-8.9484,0.17935502,-0.36667654,-5.43652285,-34.79810204,-43.95714116,-32.24639808,10832094426.090734,0.8503,10832094426.09,2022-06-07T21:02:00.000Z,,,,,,2022-06-07 22:02:39.661215
10,6636,Polkadot,DOT,polkadot-new,351,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,,11,904869778.0,8460775210.450709,2022-06-07T21:02:00.000Z,9.350268310597405,415971225.3303862,0.675,0.03324605,-1.18018077,-9.53296765,-30.18201678,-52.97196632,-46.92299213,9234131572.844727,0.7249,10316183485.44,2022-06-07T21:02:00.000Z,2502.0,Huobi Token,HT,huobi-token,0xa2c49cee16a5e5bdefde931107dc1fae9f7773e3,2022-06-07 22:02:39.661215
11,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,445,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem']",,273401.60490986,273401.60490986,,12,,,2022-06-07T21:01:00.000Z,31304.248248252785,338351775.96924865,26.2042,0.93620721,-0.26156044,-1.42371474,-8.85686172,-26.89502522,-25.15820487,8558631711.568985,0.6719,8558631711.57,2022-06-07T21:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-07 22:02:39.661215
12,1958,TRON,TRX,tron,616,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",,92796401566.06999,92796401566.06999,,13,71659659264.0,5917523694.987122,2022-06-07T21:01:00.000Z,0.08257817237431292,866083675.4217045,11.3265,0.19635623,1.47133004,0.63305194,-5.98860709,30.4976951,36.47714841,7662957244.238889,0.6016,7662957244.24,2022-06-07T21:01:00.000Z,,,,,,2022-06-07 22:02:39.661215
13,5805,Avalanche,AVAX,avalanche,265,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,280921663.0371251,404229626.49901325,,14,,,2022-06-07T21:01:00.000Z,25.416109798472977,870000436.2245605,6.8554,0.96699026,-0.34146208,-3.70844584,-51.52150107,-70.56219488,-66.88372758,7139935832.521199,0.5605,18299599054.9,2022-06-07T21:01:00.000Z,1839.0,BNB,BNB,bnb,0x1ce0c2827e2ef14d5c4f29a091d735a204794041,2022-06-07 22:02:39.661215
14,4943,Dai,DAI,multi-collateral-dai,990,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,6889106279.296763,6889106279.296763,,15,,,2022-06-07T21:02:00.000Z,1.0002474551806249,344834192.0693827,61.5684,-0.02664711,0.04248017,-0.02015829,0.03170104,0.06922141,0.09197445,6890811024.33545,0.5409,6890811024.34,2022-06-07T21:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-06-07 22:02:39.661215
0,1,Bitcoin,BTC,bitcoin,9524,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19061050.0,19061050.0,,1,,,2022-06-07T21:04:00.000Z,31358.224722524363,35818143026.969246,12.2774,0.70855345,-0.25060034,-1.3323794,-8.60554854,-26.82712976,-25.07568308,597720689347.273,46.9325,658522719173.01,2022-06-07T21:04:00.000Z,,,,,,2022-06-07 22:04:39.875675
1,1027,Ethereum,ETH,ethereum,5742,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121086977.499,121086977.499,,2,,,2022-06-07T21:03:00.000Z,1845.4213771790182,21531216106.84307,29.0719,-0.19135239,-0.84498451,-5.33810009,-27.47056721,-43.22849645,-31.38928285,223456496774.64938,17.5415,223456496774.65,2022-06-07T21:03:00.000Z,,,,,,2022-06-07 22:04:39.875675
